NAMA_DIVISI
ASISTEN LAPANGAN
HEAD CHEF
PENGOLAHAN
PERSIAPAN
CUCI OMPRÉNG
PEMORSIAN
CLEANING SERVICE/OB
DRIVER/DISTRIBUSI
ASISTEN DISTRIBUSI
ADMIN
PETUGAS LOGISTIK
SECURITY
